date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2011%20Feb%202024%2011:15:38%20GMT	https://elora.asdesignsgalaxy.com/robots.txt		(from )
16:15:38	31261/31261	---M-Z	200	added ('OK')	text/html	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/index.html	(from )
16:15:40	15776/15776	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/vendors/swiper/swiper.css	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/vendors/swiper/swiper.css	(from https://elora.asdesignsgalaxy.com/)
16:15:40	57333/57333	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/vendors/font-awesome/css/all.min.css	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/vendors/font-awesome/css/all.min.css	(from https://elora.asdesignsgalaxy.com/)
16:15:42	6951/6951	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/vendors/magnific-popup/magnific-popup.css	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/vendors/magnific-popup/magnific-popup.css	(from https://elora.asdesignsgalaxy.com/)
16:15:43	24793/24793	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/css/main.css	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/css/main.css	(from https://elora.asdesignsgalaxy.com/)
16:15:43	1659/1659	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/css/responsive.css	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/css/responsive.css	(from https://elora.asdesignsgalaxy.com/)
16:15:45	226472/226472	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/images/About/About-Image.png	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/images/About/About-Image.png	(from https://elora.asdesignsgalaxy.com/)
16:15:45	349670/349670	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/images/Home/Home-Image.png	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/images/Home/Home-Image.png	(from https://elora.asdesignsgalaxy.com/)
16:15:47	252290/252290	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/images/Portfolio/portfolio-2.png	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/images/Portfolio/portfolio-2.png	(from https://elora.asdesignsgalaxy.com/)
16:15:48	335631/335631	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/images/Portfolio/portfolio-3.png	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/images/Portfolio/portfolio-3.png	(from https://elora.asdesignsgalaxy.com/)
16:15:49	404112/404112	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/images/Portfolio/portfolio-1.png	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/images/Portfolio/portfolio-1.png	(from https://elora.asdesignsgalaxy.com/)
16:15:51	429228/429228	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/images/Portfolio/portfolio-5.png	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/images/Portfolio/portfolio-5.png	(from https://elora.asdesignsgalaxy.com/)
16:15:51	69581/69581	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/images/Testimonials/pic-1.png	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/images/Testimonials/pic-1.png	(from https://elora.asdesignsgalaxy.com/)
16:15:51	409330/409330	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/images/Portfolio/portfolio-6.png	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/images/Portfolio/portfolio-6.png	(from https://elora.asdesignsgalaxy.com/)
16:15:51	264410/264410	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/images/Portfolio/portfolio-4.png	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/images/Portfolio/portfolio-4.png	(from https://elora.asdesignsgalaxy.com/)
16:15:51	10208/10208	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/images/Testimonials/pic-2.png	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/images/Testimonials/pic-2.png	(from https://elora.asdesignsgalaxy.com/)
16:15:52	53428/53428	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Apr%202022%2013:01:52%20GMT	https://elora.asdesignsgalaxy.com/assets/images/Testimonials/pic-3.png	D:/SMIT/HTML/lectureno6/portfolio/elora.asdesignsgalaxy.com/assets/images/Testimonials/pic-3.png	(from https://elora.asdesignsgalaxy.com/)
